4105ピンポンゲーム,ボールを緑色のぼうではね返して、スコアを５あつめればクリアです。もし赤のぼうにさわったら最初からです。
4111space protecter,右矢印キーで右に動く。左矢印キーで左に動く。左下のSTOPをおすと止まる。雷が地球に触れるか、特定の高さに付くとゲームオーバー。９０秒たつとクリア。
4119ピンポンゲーム,ちきゅうをネコでまもれ。そうさほうほうはマウスでネコをうごかす。赤いせんにあたるとしゅうりょう。１５回はねかえすとクリア。
5111ピンポンゲーム,黄色のボールを下の赤いラインにおとさないよう、パンでボールをはじくピンポンゲームです。はじいた回数が５回以上になったらあなたの勝ちです。と中で赤いラインにボールをおとしたらあなたの負けです。
5113ピンポンゲーム,スコア１０になったら勝ち。下の線に当たるorスコア５になった時に出てくるダイヤに当たったら負け。ボール＝おじさん。ボールをダイバーに当てるとはねかえる。
5118ピンポンゲーム,緑の線を動かす。緑の線に当ててはねかえす。赤い線に当たって再ちょう戦できなくなったら負け（ゲームオーバー）です。
5119バナナ,猫をあやつってバナナからにげよう。ぼうに当たってもアウトだよ。そうさは矢印キーでしよう。（スペースでスタート）。
5124ピンポンゲーム,赤いせんに、ボールがあたるとアウトです。みどりのボードで、ボールをはねかえすことができます。上のスコアが５になるとゲームクリアになります。
5129ピンポンゲーム,ボールをゆっくりにして、バーにあたったら「チン」となる子どもらしさをついきゅうしたゲーム。
5132ピンポンゲーム,ピンポンだまをはねかえすいたでうちかえします。それを１０回連続でつづければかちです。
5133ピンポンゲーム,ボールのスピードはふつう。はねかえすいたはかなり小さめ。なんいどはむずかしめです。
5136キャッチゲーム,ほう石をとると１ポイント。ボウルは矢印キーで動かしボウルにふれた物はポイントとしてかんさんされる。雷とあやしげな薬をとると－１ポイント。３０ポイントをこえるとゲームクリア。－２０ポイントをこえるとゲームオーバー。
6103ピンポンゲーム,きいろのボールにみどりのバーをあててはねかえすゲームです。むずかしいけどがんばってください。じゃまをするボールがあるけどがんばってください。
6105ピンポンゲーム,マウスの位置にバーがついてきます。バーでうまく赤い線からボールを守ってください。スペースをおすとボーナスが始まります。
6106ピンポンゲーム,マウスでみどりのぼうをうごかしてピンポンをはねかえす。赤い線にあたるとゲームオーバー。
6118ピンポンゲーム,ボールが赤いバーにふれたらゲームオーバー。みどりのバーでボールをはねかえし５回できたらクリア。
6122物語,緑のはたをおすとお話がはじまります。暗くなったらおしまいです。
6127ピンポンゲーム,マウスをうごかしてリンゴをはねかえして、下の赤いぼうにあたらないようにする。スコアが１５までいくとNEKOとでます。NEKOがでたらねこにリンゴをとどけられたということでクリアになります。